Transaktionsexport,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2025-10-23 11:10:48
,,,,,,
Totalt övriga händelser,,,,,,
Datum,Bokfört,Specifikation,Ort,Valuta,Utl. belopp,Belopp
2025-09-18,2025-09-22,IMMIGRATION VISA TANZA,DAR ES SALAAM,USD,50.75,482.99
"Valutakurs: 9.517044 Valutapåslag ingår med 2,00 %",,,,,,
2025-09-18,2025-09-22,IMMIGRATION VISA TANZA,DAR ES SALAAM,USD,50.75,482.99
"Valutakurs: 9.517044 Valutapåslag ingår med 2,00 %",,,,,,
2025-09-18,2025-09-22,IMMIGRATION VISA TANZA,DAR ES SALAAM,USD,50.75,482.99
"Valutakurs: 9.517044 Valutapåslag ingår med 2,00 %",,,,,,
2025-09-18,2025-09-22,IMMIGRATION VISA TANZA,DAR ES SALAAM,USD,50.75,482.99
"Valutakurs: 9.517044 Valutapåslag ingår med 2,00 %",,,,,,
2025-09-18,2025-09-19,ICA SUPERMARKET HJO,HJO,SEK,0,79.95
2025-09-17,2025-09-18,ICA SUPERMARKET HJO,HJO,SEK,0,218.75
2025-09-16,2025-09-17,EBAY O*13-13581-74494,SAN JOSE,SEK,0,169.15
2025-09-14,2025-09-16,KORKISSEBASTIAN,HJO,SEK,0,415
2025-09-14,2025-09-15,CASTELLO SUSHI,HJO,SEK,0,145
2025-09-12,2025-09-22,FORSHALLEN,TIDAHOLM,SEK,0,10
2025-09-12,2025-09-22,FORSHALLEN,TIDAHOLM,SEK,0,95
2025-09-12,2025-09-22,FORSHALLEN,TIDAHOLM,SEK,0,220
2025-09-12,2025-09-15,HJOGOTTEN AB,HJO,SEK,0,161.28
2025-09-12,2025-09-15,HEM OCH HOBBY,HJO,SEK,0,95
2025-09-10,2025-09-11,HÄLSOCENTRALEN,HJO,SEK,0,50
2025-09-09,2025-09-10,MOSTER ELINS GL,HJO,SEK,0,140
2025-09-08,2025-09-09,ICA SUPERMARKET HJO,HJO,SEK,0,118.08
2025-09-07,2025-09-08,MOSTER ELINS GL,HJO,SEK,0,117
2025-09-07,2025-09-08,ICA SUPERMARKET HJO,HJO,SEK,0,248.61
2025-09-07,2025-09-08,NETFLIX.COM,020790637,SEK,0,149
2025-09-05,2025-09-08,DH* DREAMHACKSWEDEN DR,HAGERSTEN,SEK,0,669
2025-09-05,2025-09-08,HJOGOTTEN AB,HJO,SEK,0,100
2025-09-05,2025-09-08,HJOGOTTEN AB,HJO,SEK,0,226.26
2025-09-01,2025-09-02,KRONANS APOTEK AB,HJO,SEK,0,364
2025-09-01,2025-09-02,BRODERNA BRANDT PERSON,UDDEVALLA,SEK,0,614
2025-08-31,2025-09-01,KORKISSEBASTIAN,HJO,SEK,0,270
Totalt belopp,,,,,,18461.41
